node_id,name,source_type,country_codes,jurisdiction,service_provider,address
Entity_20003127,DALMA CORPORATION LIMITED,Entity,,BAH,,
Entity_20010494,ASIA CONSTRUCTION CORPORATION LIMITED,Entity,,BAH,,
Entity_20010495,EURO LOGISTICS LIMITED,Entity,,BAH,,
Entity_20010496,EURO LEISURE LIMITED,Entity,,BAH,,
Entity_20010497,EURO DATA PROCUREMENT LIMITED,Entity,,BAH,,
Entity_20010498,STERLING INDUSTRIES LIMITED,Entity,,BAH,,
Entity_20010499,GENERAL COMMERCIAL ENTERPRISES LIMITED,Entity,,BAH,,
Entity_20010500,NEWARK INDUSTRIES LIMITED,Entity,,BAH,,
Entity_20010501,SUMMIT ENTERPRISES INC.,Entity,,BAH,,
Entity_20010502,ARMACO INTERNATIONAL LTD.,Entity,,BAH,,
Entity_20010503,EPEA INTERNATIONAL LTD.,Entity,,BAH,,
Entity_20010504,COWBEL LIMITED,Entity,,BAH,,
Entity_20010505,VAARING CONSULTING LIMITED,Entity,,BAH,,
Entity_20010506,RICHFIELD INTERNATIONAL LIMITED,Entity,,BAH,,
Entity_20010507,CHRISTOPHER & COMPANY LTD.,Entity,,BAH,,
Entity_20010508,ROZPUK INC.,Entity,,BAH,,
Entity_20010509,SPRINGFLOWER PROPERTIES LIMITED,Entity,,BAH,,
Entity_20010510,BAHA DEVELOPMENT CORPORATION,Entity,,BAH,,
Entity_20010511,NORTHSTAR HOLDINGS LIMITED,Entity,,BAH,,
Entity_20010512,BEACHWAY INC.,Entity,,BAH,,
Entity_20010513,QUIRINALE INVESTMENTS LIMITED,Entity,,BAH,,
Entity_20010514,GREVEN HOLDINGS LIMITED,Entity,,BAH,,
Entity_20010516,DIAGNOSTIC TECHNOLOGIST LTD.,Entity,,BAH,,
Entity_20010517,ADIEMIER COMPANY LIMITED,Entity,,BAH,,
Entity_20010515,NINOR SHIPPING COMPANY (BAHAMAS) LIMITED,Entity,,BAH,,
Entity_20010518,FOND'ART LTD.,Entity,,BAH,,
Entity_20010519,FENWICK HOLDINGS LIMITED,Entity,,BAH,,
Entity_20010520,SPRINGFIELD SERVICES LIMITED,Entity,,BAH,,
Entity_20010521,MEDUSA HOLDINGS LIMITED,Entity,,BAH,,
Entity_20010522,FEATHERSTONE INVESTMENTS LIMITED,Entity,,BAH,,
Entity_20010523,RIDGEMOUNT TRADING LIMITED,Entity,,BAH,,
Entity_20010524,REHMAG CORPORATION LTD.,Entity,,BAH,,
Entity_20010525,LE SAUNDA LICENSING LIMITED,Entity,,BAH,,
Entity_20010526,FARMINGTON LIMITED,Entity,,BAH,,
Entity_20010527,MARYLAND HOLDINGS INC,Entity,,BAH,,
Entity_20010528,FIVE OAKS INCORPORATED,Entity,,BAH,,
Entity_20010529,STINGRAY INVESTMENTS LIMITED,Entity,,BAH,,
Entity_20010530,DATA ENTERPRISES  INC.,Entity,,BAH,,
Entity_20010531,MALIBAY  CO. LTD.,Entity,,BAH,,
Entity_20010532,HENCY SOUTH AMERICA LIMITED,Entity,,BAH,,
Intermediary_23000001,Internal User,Intermediary,,,,
Intermediary_23000002,M & A CORPORATE SERVICES LIMITED,Intermediary,BHS,,,
Intermediary_23000003,BRITANNIA CONSULTING GROUP,Intermediary,BHS,,,
